strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option2_promotion,8.0,100,0.8901,12705.4857,11274.0425,45.7112,45.7112,113.7775,1997.5475,334.075,800
option2_promotion,8.0,200,0.9368,12705.4857,11274.0425,45.7112,45.7112,214.5988,3399.3988,515.5938,800
option2_promotion,8.0,500,0.9741,12705.4857,11274.0425,45.7112,45.7112,517.0012,7002.5838,933.3738,800
option2_promotion,10.0,10,0.4362,12769.3643,12128.973,30.15,30.15,19.3512,433.8912,55.6588,800
option2_promotion,10.0,20,0.5614,13038.6725,12012.3236,37.8175,37.8175,31.5812,675.55,99.64,800
option2_promotion,10.0,50,0.7399,13038.6725,12012.3236,37.8175,37.8175,64.3288,1261.9637,209.2225,800
option2_promotion,10.0,100,0.8234,13038.6725,12012.3236,37.8175,37.8175,115.2112,2084.85,340.3938,800
option2_promotion,10.0,200,0.8941,13038.6725,12012.3236,37.8175,37.8175,217.0062,3555.3838,540.8987,800
option2_promotion,10.0,500,0.9545,13038.6725,12012.3236,37.8175,37.8175,521.5275,7390.1025,1001.4325,800
option2_promotion,12.0,10,0.3541,13314.4316,12938.6787,24.565,24.565,18.745,426.8362,50.3838,800
option2_promotion,12.0,20,0.4714,13689.8578,12921.3186,32.635,32.635,30.9525,674.975,91.3112,800
option2_promotion,12.0,50,0.6496,13689.8578,12921.3186,32.635,32.635,63.7812,1281.3038,197.7038,800
option2_promotion,12.0,100,0.7585,13689.8578,12921.3186,32.635,32.635,115.005,2137.825,333.3938,800
option2_promotion,12.0,200,0.8394,13689.8578,12921.3186,32.635,32.635,216.87,3685.005,545.0512,800
option2_promotion,12.0,500,0.9082,13689.8578,12921.3186,32.635,32.635,519.9675,7729.58,1037.4962,800
option2_promotion,16.0,10,0.2445,15358.562,15208.4791,19.4262,19.4262,16.7788,390.6925,41.78,800
option2_promotion,16.0,20,0.3538,15946.2243,15449.1447,27.2875,27.2875,29.1012,652.1388,79.1538,800
option2_promotion,16.0,50,0.5182,15946.2243,15449.1447,27.2875,27.2875,60.975,1283.8,177.3825,800
option2_promotion,16.0,100,0.6406,15946.2243,15449.1447,27.2875,27.2875,111.1438,2205.45,311.3388,800
option2_promotion,16.0,200,0.7399,15946.2243,15449.1447,27.2875,27.2875,210.6288,3885.96,531.2225,800
option2_promotion,16.0,500,0.84,15946.2243,15449.1447,27.2875,27.2875,513.2988,8416.91,1068.4825,800
option3_rewire,0.0,10,0.8352,16360.4838,6242.3881,135.1538,36.075,13.36,273.2138,36.2162,800
option3_rewire,0.0,20,0.8919,15216.143,15216.143,0.0,0.0,34.08,694.4075,184.3512,800
option3_rewire,0.0,50,0.9564,14572.0549,14572.0549,0.0,0.0,61.56,1142.7162,276.095,800
option3_rewire,0.0,100,0.9746,14572.0549,14572.0549,0.0,0.0,111.0038,1858.0875,367.2362,800
option3_rewire,0.0,200,0.9869,14572.0549,14572.0549,0.0,0.0,210.5788,3138.6188,502.7012,800
option3_rewire,0.0,500,0.9942,14572.0549,14572.0549,0.0,0.0,510.0738,6441.0112,837.4475,800
option3_rewire,1.0,10,0.8233,16569.7874,6393.8048,134.585,35.6888,13.5062,277.135,36.7662,800
option3_rewire,1.0,20,0.8985,15186.3839,15186.3839,0.0,0.0,30.8075,623.42,157.6688,800
option3_rewire,1.0,50,0.9536,14095.9311,14095.9311,0.0,0.0,61.9975,1151.8625,275.8737,800
option3_rewire,1.0,100,0.9755,14095.9311,14095.9311,0.0,0.0,111.3988,1866.5412,369.8112,800
option3_rewire,1.0,200,0.9869,14095.9311,14095.9311,0.0,0.0,211.0462,3150.7012,508.065,800
option3_rewire,1.0,500,0.9929,14095.9311,14095.9311,0.0,0.0,510.2675,6457.3512,845.39,800
option3_rewire,2.0,10,0.8161,16858.5908,6500.9356,134.3862,35.5737,13.7388,282.2288,36.9825,800
option3_rewire,2.0,20,0.8752,13493.9301,13493.9301,0.0,0.0,31.6612,658.1762,159.1188,800
option3_rewire,2.0,50,0.9481,13699.3069,13699.3069,0.0,0.0,62.3138,1160.49,273.5025,800
option3_rewire,2.0,100,0.973,13699.3069,13699.3069,0.0,0.0,111.7938,1876.705,370.2838,800
option3_rewire,2.0,200,0.9865,13699.3069,13699.3069,0.0,0.0,211.2612,3161.7638,510.9675,800
option3_rewire,2.0,500,0.9948,13699.3069,13699.3069,0.0,0.0,510.6162,6473.3425,850.8812,800
option3_rewire,3.0,10,0.8029,17226.8938,6712.9647,133.74,35.4375,13.9525,285.1812,37.0875,800
option3_rewire,3.0,20,0.8698,13290.7863,13290.7863,0.0,0.0,31.8188,661.745,155.9575,800
option3_rewire,3.0,50,0.939,13382.1824,13382.1824,0.0,0.0,62.6562,1172.1788,271.6,800
option3_rewire,3.0,100,0.9676,13382.1824,13382.1824,0.0,0.0,111.9525,1889.0062,371.905,800
option3_rewire,3.0,200,0.984,13382.1824,13382.1824,0.0,0.0,211.7825,3183.5988,516.3838,800
option3_rewire,3.0,500,0.9944,13382.1824,13382.1824,0.0,0.0,511.5688,6519.3788,861.98,800
option3_rewire,4.0,10,0.7784,17674.6964,7058.8736,133.7538,35.335,14.1625,292.1588,37.5112,800
option3_rewire,4.0,20,0.8549,13167.1422,13167.1422,0.0,0.0,32.15,669.9075,151.9025,800
option3_rewire,4.0,50,0.9255,13144.5575,13144.5575,0.0,0.0,63.1262,1187.835,270.2162,800
option3_rewire,4.0,100,0.9622,13144.5575,13144.5575,0.0,0.0,113.1788,1922.895,376.79,800
option3_rewire,4.0,200,0.9826,13144.5575,13144.5575,0.0,0.0,213.3688,3229.2462,529.1812,800
option3_rewire,4.0,500,0.9918,13144.5575,13144.5575,0.0,0.0,512.1712,6588.57,884.73,800
option3_rewire,6.0,10,0.7206,18808.8007,8016.4615,131.735,33.6525,15.1488,314.0075,39.4212,800
option3_rewire,6.0,20,0.774,12907.8068,12907.8068,0.0,0.0,33.8262,709.755,145.8812,800
option3_rewire,6.0,50,0.8798,12907.8068,12907.8068,0.0,0.0,64.1787,1221.3275,263.9025,800
option3_rewire,6.0,100,0.9345,12907.8068,12907.8068,0.0,0.0,114.8412,1987.365,381.5762,800
option3_rewire,6.0,200,0.9735,12907.8068,12907.8068,0.0,0.0,216.2025,3333.5925,550.335,800
option3_rewire,6.0,500,0.9885,12907.8068,12907.8068,0.0,0.0,514.8388,6771.3675,928.635,800
option3_rewire,8.0,10,0.6539,19286.5959,19286.5959,0.0,0.0,26.0612,537.3325,117.4175,800
option3_rewire,8.0,20,0.6896,12989.0545,12989.0545,0.0,0.0,34.2762,727.745,134.1038,800
option3_rewire,8.0,50,0.8332,12989.0545,12989.0545,0.0,0.0,65.9888,1278.8738,256.52,800
option3_rewire,8.0,100,0.89,12989.0545,12989.0545,0.0,0.0,115.3688,2042.1225,382.5675,800
option3_rewire,8.0,200,0.9404,12989.0545,12989.0545,0.0,0.0,216.6412,3448.6362,564.96,800
option3_rewire,8.0,500,0.9736,12989.0545,12989.0545,0.0,0.0,517.8612,7036.3275,978.3312,800
option3_rewire,10.0,10,0.5771,20994.1611,20994.1611,0.0,0.0,26.7275,553.8275,118.1812,800
option3_rewire,10.0,20,0.5884,13388.301,13388.301,0.0,0.0,33.8875,730.9738,121.895,800
option3_rewire,10.0,50,0.7422,13388.301,13388.301,0.0,0.0,65.5838,1297.2512,242.0262,800
option3_rewire,10.0,100,0.8304,13388.301,13388.301,0.0,0.0,116.5788,2117.3925,377.3925,800
option3_rewire,10.0,200,0.8938,13388.301,13388.301,0.0,0.0,217.6912,3574.8088,574.055,800
option3_rewire,10.0,500,0.9555,13388.301,13388.301,0.0,0.0,522.225,7398.9438,1029.1388,800
option3_rewire,12.0,10,0.5044,23019.7247,23019.7247,0.0,0.0,27.3988,572.805,118.6138,800
option3_rewire,12.0,20,0.5006,14105.546,14105.546,0.0,0.0,33.3988,731.7888,111.01,800
option3_rewire,12.0,50,0.6578,14105.546,14105.546,0.0,0.0,65.42,1321.0625,228.9112,800
option3_rewire,12.0,100,0.7582,14105.546,14105.546,0.0,0.0,115.8762,2165.8612,366.5938,800
option3_rewire,12.0,200,0.8404,14105.546,14105.546,0.0,0.0,217.74,3706.9288,577.3612,800
option3_rewire,12.0,500,0.9114,14105.546,14105.546,0.0,0.0,520.89,7745.7175,1061.41,800
option3_rewire,16.0,10,0.3569,28024.8484,28024.8484,0.0,0.0,28.7888,608.6888,121.095,800
option3_rewire,16.0,20,0.3619,16494.0319,16494.0319,0.0,0.0,31.57,710.6525,93.7412,800
option3_rewire,16.0,50,0.5274,16494.0319,16494.0319,0.0,0.0,63.3162,1337.345,203.3175,800
