query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length
93,0.0,0.9,233.14768981933594,168.27796936035156,92,201,4978,524,201
94,0.0,0.5,289.64715576171875,198.0203857421875,47,203,4906,585,203
95,0.0,0.7,272.6055603027344,158.161376953125,136,200,4869,514,200
96,0.0,1.0,233.0034637451172,133.901123046875,145,201,4888,516,201
97,0.0,0.7,244.295654296875,161.78158569335938,92,200,4983,555,200
98,0.0,0.6,238.1039581298828,177.97598266601562,82,200,4905,547,200
99,0.0,0.4,245.76805114746094,176.9083251953125,76,201,4939,549,201
100,0.0,0.8,257.6386413574219,170.6398468017578,76,201,4910,534,201
101,0.0,1.0,251.50804138183594,164.4488067626953,44,200,4761,490,200
102,0.0,0.9,293.8660583496094,198.9432373046875,102,201,4936,597,201
103,0.0,0.9,257.35394287109375,194.43165588378906,71,201,4902,541,201
104,0.0,0.8,274.5644836425781,187.47549438476562,95,202,4885,575,202
105,0.0,0.8,286.4012451171875,195.84059143066406,84,200,4724,548,200
106,0.0,0.9,259.81671142578125,201.9243927001953,60,205,4840,532,205
107,0.0,0.8,268.47662353515625,183.5808868408203,87,201,4858,543,201
108,0.0,0.5,263.2876281738281,185.70474243164062,64,214,5147,517,214
109,0.0,0.5,289.85394287109375,194.75726318359375,98,201,4920,576,201
110,0.0,0.4,262.2841796875,206.72698974609375,65,202,4852,580,202
111,0.0,0.5,216.5684814453125,151.91258239746094,98,200,4939,574,200
112,0.0,0.6,230.1678009033203,194.98892211914062,44,202,4860,596,202
113,0.0,0.7,298.78326416015625,185.4067840576172,92,202,4936,547,202
114,0.0,0.8,259.4706115722656,184.6591339111328,98,201,4913,531,201
115,0.0,0.6,257.5705871582031,189.0266876220703,47,201,4871,558,201
116,0.0,0.7,240.6634063720703,190.23159790039062,44,201,4906,511,201
117,0.0,0.7,251.8260498046875,189.5113067626953,87,200,4854,548,200
118,0.0,0.6,308.90948486328125,173.0422821044922,90,200,4802,518,200
119,0.0,0.9,277.12603759765625,168.1148681640625,78,200,4889,526,200
120,0.0,0.5,282.3517761230469,182.0884552001953,55,200,4724,537,200
121,0.0,0.6,284.1060485839844,194.9007568359375,97,208,4948,550,208
122,0.0,0.7,339.4107971191406,204.6243133544922,86,203,4925,523,203
123,0.0,0.6,268.3988342285156,197.03639221191406,47,202,4836,547,202
124,0.0,0.8,265.3486328125,193.84414672851562,66,201,4824,554,201
125,0.0,1.0,224.114990234375,178.31607055664062,75,204,4903,553,204
126,0.0,0.6,235.635986328125,159.6341552734375,65,200,4784,551,200
127,0.0,0.7,250.94557189941406,179.93328857421875,89,201,4835,544,201
128,0.0,0.8,263.38446044921875,163.19381713867188,89,201,4900,569,201
129,0.0,0.9,256.56658935546875,168.79458618164062,98,202,4764,544,202
130,0.0,0.8,250.27650451660156,194.53509521484375,69,204,4932,574,204
131,0.0,0.9,231.3779754638672,176.34585571289062,73,200,4869,579,200
132,0.0,0.8,340.4825744628906,202.87188720703125,105,201,4788,590,201
133,0.0,0.9,246.098876953125,169.46636962890625,73,208,4973,519,208
134,0.0,0.9,250.6864776611328,176.071533203125,87,206,4893,565,206
135,0.0,0.9,298.601806640625,182.39151000976562,72,204,4916,538,204
136,0.0,0.7,234.33230590820312,164.03546142578125,90,202,4768,524,202
137,0.0,0.7,236.454833984375,175.89218139648438,101,201,4866,544,201
138,0.0,0.8,268.05242919921875,186.1094970703125,84,201,4714,537,201
139,0.0,0.7,227.49549865722656,189.48876953125,61,208,4980,558,208
140,0.0,0.7,300.1114196777344,211.8202362060547,71,206,4887,563,206
141,0.0,0.7,261.94775390625,214.5694122314453,50,200,4889,579,200
142,0.0,0.7,231.55470275878906,174.04623413085938,39,202,4764,566,202
143,0.0,0.8,235.79965209960938,187.22621154785156,71,201,4947,567,201
144,0.0,0.8,270.2283935546875,191.7924041748047,120,201,4779,509,201
145,0.0,1.0,263.3964538574219,179.38870239257812,89,201,4890,549,201
146,0.0,0.7,273.80450439453125,178.7193603515625,84,203,4821,556,203
