query_id,distribution,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps
198,in_distribution,1.0,71.36905670166016,35.804290771484375,45,52,882
199,in_distribution,1.0,39.797306060791016,36.449424743652344,48,51,918
0,out_of_distribution,0.9,863.3582763671875,769.26953125,42,53,777
1,out_of_distribution,0.9,829.2403564453125,722.468017578125,42,50,745
2,out_of_distribution,0.8,816.668212890625,719.455078125,42,51,756
3,out_of_distribution,1.0,891.0673828125,792.4767456054688,42,52,786
4,out_of_distribution,1.0,852.8439331054688,759.2891235351562,42,51,783
5,out_of_distribution,1.0,847.4486083984375,761.5250244140625,42,52,790
6,out_of_distribution,0.8,770.2669067382812,687.2196655273438,42,55,869
7,out_of_distribution,1.0,822.6327514648438,706.25634765625,42,51,754
8,out_of_distribution,1.0,759.443603515625,656.7706298828125,42,52,809
9,out_of_distribution,1.0,823.9431762695312,699.6461181640625,42,50,782
10,out_of_distribution,0.9,877.592529296875,798.4546508789062,42,52,812
11,out_of_distribution,1.0,782.384521484375,706.4777221679688,42,51,822
12,out_of_distribution,0.8,803.6183471679688,747.9590454101562,42,53,839
13,out_of_distribution,1.0,922.25146484375,832.4818115234375,42,51,780
14,out_of_distribution,0.8,855.9850463867188,754.8184204101562,42,51,840
15,out_of_distribution,0.9,829.644287109375,751.324462890625,42,51,782
16,out_of_distribution,0.9,790.7606811523438,715.4960327148438,42,51,816
17,out_of_distribution,0.9,845.950439453125,738.4177856445312,42,50,759
18,out_of_distribution,0.9,777.5630493164062,688.4588623046875,42,50,791
19,out_of_distribution,1.0,809.25390625,677.9251708984375,42,51,762
20,out_of_distribution,0.9,878.2262573242188,775.0849609375,42,52,767
21,out_of_distribution,0.9,881.570068359375,806.625,42,51,812
22,out_of_distribution,0.9,849.864013671875,763.1268310546875,42,52,793
23,out_of_distribution,0.9,796.6180419921875,694.9074096679688,42,51,749
24,out_of_distribution,0.9,780.5843505859375,682.5616455078125,42,57,880
25,out_of_distribution,1.0,870.8189086914062,752.603271484375,42,52,821
26,out_of_distribution,1.0,844.170654296875,751.9990234375,43,53,762
27,out_of_distribution,0.8,786.9473876953125,707.9514770507812,42,50,808
28,out_of_distribution,0.8,779.2152709960938,675.5810546875,42,50,821
29,out_of_distribution,1.0,809.8517456054688,716.6672973632812,42,50,770
30,out_of_distribution,0.8,817.235107421875,730.3346557617188,42,51,800
31,out_of_distribution,1.0,919.786376953125,822.4813232421875,42,52,793
32,out_of_distribution,0.9,975.0350952148438,860.54345703125,42,50,762
33,out_of_distribution,0.9,828.6282958984375,762.5140380859375,33,51,787
34,out_of_distribution,1.0,816.9407958984375,734.1392822265625,42,51,762
35,out_of_distribution,0.8,831.12060546875,738.6881103515625,42,50,770
36,out_of_distribution,0.9,756.0525512695312,683.3793334960938,42,50,759
37,out_of_distribution,0.9,838.6136474609375,736.8553466796875,42,50,773
38,out_of_distribution,0.9,759.5565185546875,673.0260620117188,42,56,870
39,out_of_distribution,1.0,825.1287231445312,754.7662963867188,42,50,762
40,out_of_distribution,1.0,804.6964721679688,701.650634765625,42,51,803
41,out_of_distribution,1.0,820.5122680664062,735.5689086914062,42,51,788
42,out_of_distribution,0.9,806.7200927734375,724.0525512695312,42,51,789
43,out_of_distribution,1.0,785.888916015625,690.2175903320312,42,50,827
44,out_of_distribution,1.0,826.2161865234375,719.083740234375,42,52,787
45,out_of_distribution,1.0,727.1966552734375,660.7269897460938,42,61,926
