strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
poolAndRewire,10,6,6,False,0.3,0.3,0.6196,230159.608,63185.304,135.1167,39.088,13.0253,286.026,30.7927,3000,0.47,,0.0318,0.3607,0.0573,6.0288
poolAndRewire,10,7,6,True,0.3,0.3,0.6161,215978.806,62916.8496,133.2666,38.6736,12.9662,285.2316,30.6576,5000,0.4692,,0.0312,0.3607,0.0569,6.2205
poolAndRewire,10,8,7,False,0.3,0.4,0.4759,215541.6783,88649.2567,123.6783,35.06,16.0187,389.1847,35.1623,3000,0.494,,0.0493,0.3601,0.0638,6.4144
poolAndRewire,10,9,8,False,0.4,0.6,0.4362,212994.5753,88551.7213,122.9267,35.0613,15.842,384.389,34.573,3000,0.4909,,0.0473,0.3595,0.0634,6.581
poolAndRewire,10,10,9,False,0.6,1.0,0.3923,212440.6383,81643.556,127.068,36.6637,14.094,332.2847,32.4243,3000,0.4791,,0.0386,0.3596,0.0602,6.7354
poolAndRewire,10,11,9,True,0.6,1.0,0.388,210792.1804,80918.9164,127.5792,36.4574,13.9884,329.938,32.2148,5000,0.4804,,0.0388,0.3601,0.0609,6.9242
poolAndRewire,50,0,1,False,0.0,0.0,1.0,198298.8357,41660.6397,127.1803,39.5873,50.683,849.794,95.4463,3000,0.546,,0.0641,0.3373,0.1254,4.0254
poolAndRewire,50,1,2,False,0.0,0.1,0.9997,211255.546,68078.0697,123.166,37.107,51.8767,1045.3033,128.9337,3000,0.6159,,0.0734,0.3692,0.1526,5.1749
poolAndRewire,50,2,3,False,0.1,0.1,0.9753,202187.75,55082.547,127.4847,39.117,51.0083,966.8973,111.1407,3000,0.597,,0.0654,0.3666,0.1444,5.3842
poolAndRewire,50,3,3,True,0.1,0.1,0.9759,212021.9752,54287.1932,131.6862,38.8176,50.9524,964.8142,110.1266,5000,0.5982,,0.0659,0.366,0.1457,5.5943
